inicial_x,inicial_y,passos
101,57,2
219,80,2595
110,56,1
215,173,3801
79,61,9220
133,194,70
162,191,2282
79,190,1003
65,186,793
57,183,2525
154,57,2842
185,186,3285
100,57,1
88,59,3573
100,193,1759
152,193,1385
54,68,3153
87,59,453
97,57,75
93,192,1706
109,56,1
83,60,527
197,181,4374
147,57,1954
74,188,1086
217,79,776
145,194,77
69,187,5538
187,65,1850
84,60,104
66,64,2659
182,63,9191
112,56,2
177,62,1652
40,75,3712
125,194,1
110,56,1
116,56,1
106,56,1
28,81,1986
45,178,1938
131,56,33
71,187,2239
144,194,4187
110,194,1
113,194,1
75,189,1520
210,74,3068
109,56,1
18,90,2575
100,57,1
124,56,5
58,67,930
127,56,50
58,67,1930
139,56,5734
125,194,2
64,64,9491
141,56,12332
177,188,721
74,188,3258
75,62,12261
205,178,3155
42,74,3345
222,168,2409
121,194,2
187,65,2214
104,57,1
189,184,1836
50,180,2490
178,62,1262
97,57,2
153,57,983
123,194,1
163,59,727
106,56,1
194,183,3855
172,61,3342
146,57,441
46,179,3263
200,180,729
102,57,1
120,194,27
35,173,643
124,194,1
125,56,137
8,149,11563
94,58,7
205,72,3909
243,147,1646
13,155,6169
78,189,8916
112,56,1
131,194,15
70,187,773
178,188,646
92,58,721
101,57,1
127,56,7
157,58,1657
126,56,17
95,58,5
58,67,868
214,173,5438
155,192,1344
118,194,1
170,60,5945
217,172,3162
169,190,1356
64,185,1363
185,186,14016
123,194,1
183,186,5456
148,57,7291
105,56,1
15,93,5034
139,194,198
125,194,1
130,194,88
217,172,1971
81,60,1152
49,180,6164
143,56,246
46,71,5500
134,194,132
154,192,5274
170,190,7136
86,191,555
31,170,5822
63,65,2315
15,157,3267
171,189,5248
125,194,1
86,191,546
1,126,5581
197,69,6827
55,68,8891
63,185,1910
97,57,1
84,59,439
60,66,4524
12,97,3964
79,60,1029
164,191,1242
53,181,846
208,73,2465
115,194,1
133,56,1131
146,57,364
138,194,151
65,64,5282
108,194,52
126,194,1
96,57,1
48,179,4843
162,191,2868
188,65,3227
62,65,4446
100,57,1
145,194,213
115,194,1
78,189,1453
156,192,1273
165,59,7143
158,192,3825
119,56,1
103,193,387
70,63,5389
21,163,6403
123,56,1
236,156,18892
151,57,875
102,57,1
